Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,1,15.0,0.015873015873015872
8,20,60,0,8.0,0.025
11,20,21,0,11.0,0.03896103896103896
12,20,7,0,12.0,0.09523809523809523
19,20,21,0,19.0,0.002506265664160401
19,20,14,0,19.0,0.0037593984962406013
18,20,14,0,18.0,0.007936507936507936
12,20,3,1,16.0,0.08333333333333333
19,20,30,0,19.0,0.0017543859649122807
8,20,2,1,14.0,0.21428571428571427
4,20,2,1,12.0,0.3333333333333333
10,20,14,1,15.0,0.023809523809523808
9,20,14,1,14.5,0.027093596059113302
4,20,5,1,12.0,0.13333333333333333
5,20,7,1,12.5,0.08571428571428572
8,20,21,1,14.0,0.02040816326530612
9,20,21,1,14.5,0.0180623973727422
8,20,60,1,14.0,0.007142857142857143
15,20,90,0,15.0,0.003703703703703704
14,20,90,0,14.0,0.004761904761904762
4,20,14,1,12.0,0.047619047619047616
9,20,30,1,14.5,0.01264367816091954
10,20,30,0,10.0,0.03333333333333333
7,20,21,0,7.0,0.08843537414965986
14,20,30,0,14.0,0.014285714285714285
7,20,14,1,13.5,0.03439153439153439
6,20,21,1,13.0,0.02564102564102564
8,20,21,1,14.0,0.02040816326530612
11,20,21,1,15.5,0.013824884792626729
11,20,30,0,11.0,0.02727272727272727
10,20,21,1,15.0,0.015873015873015872
8,20,30,1,14.0,0.014285714285714285
12,20,21,1,16.0,0.011904761904761904
12,20,30,0,12.0,0.022222222222222223
10,20,30,1,15.0,0.011111111111111112
