Var1,Var2,Var4,Var5,V,k
10,20,60,0,10.0,0.016666666666666666
10,20,21,0,10.0,0.047619047619047616
11,20,7,0,11.0,0.11688311688311688
9,20,5,1,14.5,0.07586206896551724
18,20,30,0,18.0,0.003703703703703704
17,20,21,0,17.0,0.008403361344537815
12,20,2,0,12.0,0.3333333333333333
19,20,14,0,19.0,0.0037593984962406013
19,20,7,0,19.0,0.007518796992481203
11,20,2,1,15.5,0.14516129032258066
19,20,21,0,19.0,0.002506265664160401
9,20,2,1,14.5,0.1896551724137931
10,20,6,1,15.0,0.05555555555555555
19,20,30,0,19.0,0.0017543859649122807
6,20,3,1,13.0,0.1794871794871795
10,20,7,1,15.0,0.047619047619047616
10,20,14,0,10.0,0.07142857142857142
9,20,6,1,14.5,0.06321839080459771
9,20,14,1,14.5,0.027093596059113302
14,20,21,0,14.0,0.02040816326530612
11,20,7,1,15.5,0.041474654377880185
11,20,14,0,11.0,0.05844155844155844
9,20,7,1,14.5,0.054187192118226604
8,20,21,1,14.0,0.02040816326530612
12,20,14,0,12.0,0.047619047619047616
8,20,14,1,14.0,0.030612244897959183
9,20,21,1,14.5,0.0180623973727422
11,20,21,1,15.5,0.013824884792626729
13,20,21,0,13.0,0.02564102564102564
10,20,14,1,15.0,0.023809523809523808
10,20,21,0,10.0,0.047619047619047616
9,20,14,1,14.5,0.027093596059113302
12,20,21,0,12.0,0.031746031746031744
11,20,14,1,15.5,0.020737327188940093
13,20,14,1,16.5,0.015151515151515152
10,20,30,0,10.0,0.03333333333333333
