Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,0,9.0,0.006790123456790123
11,20,60,0,11.0,0.013636363636363636
14,20,21,0,14.0,0.02040816326530612
12,20,14,1,16.0,0.017857142857142856
6,20,14,1,13.0,0.038461538461538464
3,20,14,1,11.5,0.052795031055900624
8,20,180,0,8.0,0.008333333333333333
11,20,21,0,11.0,0.03896103896103896
1,20,5,1,10.5,0.18095238095238095
1,20,4,1,10.5,0.2261904761904762
19,20,90,0,19.0,0.0005847953216374269
1,20,6,1,10.5,0.15079365079365079
11,20,30,1,15.5,0.00967741935483871
17,20,180,0,17.0,0.000980392156862745
2,20,14,1,11.0,0.05844155844155844
10,20,30,1,15.0,0.011111111111111112
4,20,14,1,12.0,0.047619047619047616
9,20,30,1,14.5,0.01264367816091954
11,20,60,0,11.0,0.013636363636363636
8,20,60,1,14.0,0.007142857142857143
8,20,30,1,14.0,0.014285714285714285
9,20,60,1,14.5,0.00632183908045977
10,20,90,0,10.0,0.011111111111111112
10,20,60,0,10.0,0.016666666666666666
7,20,60,1,13.5,0.008024691358024692
11,20,30,1,15.5,0.00967741935483871
6,20,60,1,13.0,0.008974358974358974
8,20,90,1,14.0,0.004761904761904762
12,20,60,0,12.0,0.011111111111111112
9,20,90,1,14.5,0.00421455938697318
11,20,90,0,11.0,0.00909090909090909
11,20,60,0,11.0,0.013636363636363636
8,20,60,1,14.0,0.007142857142857143
9,20,60,1,14.5,0.00632183908045977
10,20,90,0,10.0,0.011111111111111112
