Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,0,9.0,0.006790123456790123
11,20,60,1,15.5,0.004838709677419355
7,20,180,0,7.0,0.010317460317460317
2,20,21,1,11.0,0.03896103896103896
3,20,21,1,11.5,0.035196687370600416
5,20,21,1,12.5,0.02857142857142857
7,20,365,0,7.0,0.005088062622309198
13,20,21,1,16.5,0.010101010101010102
8,20,365,0,8.0,0.00410958904109589
14,20,14,1,17.0,0.012605042016806723
12,20,30,1,16.0,0.008333333333333333
10,20,90,1,15.0,0.003703703703703704
16,20,5,1,18.0,0.022222222222222223
9,20,180,0,9.0,0.006790123456790123
11,20,90,0,11.0,0.00909090909090909
9,20,90,0,9.0,0.013580246913580247
12,20,90,0,12.0,0.007407407407407408
10,20,60,1,15.0,0.005555555555555556
11,20,60,1,15.5,0.004838709677419355
8,20,90,0,8.0,0.016666666666666666
13,20,90,0,13.0,0.005982905982905983
9,20,60,0,9.0,0.020370370370370372
6,20,60,1,13.0,0.008974358974358974
8,20,60,1,14.0,0.007142857142857143
7,20,60,1,13.5,0.008024691358024692
6,20,90,0,6.0,0.025925925925925925
14,20,90,0,14.0,0.004761904761904762
5,20,90,1,12.5,0.006666666666666667
9,20,90,0,9.0,0.013580246913580247
10,20,60,1,15.0,0.005555555555555556
7,20,90,1,13.5,0.005349794238683128
8,20,90,0,8.0,0.016666666666666666
10,20,30,1,15.0,0.011111111111111112
11,20,60,0,11.0,0.013636363636363636
9,20,60,1,14.5,0.00632183908045977
