Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,0,11.0,0.11688311688311688
9,20,5,1,14.5,0.07586206896551724
17,20,30,0,17.0,0.0058823529411764705
16,20,21,0,16.0,0.011904761904761904
12,20,2,1,16.0,0.125
8,20,21,1,14.0,0.02040816326530612
19,20,60,0,19.0,0.0008771929824561404
18,20,60,0,18.0,0.001851851851851852
19,20,30,0,19.0,0.0017543859649122807
11,20,6,1,15.5,0.04838709677419355
3,20,3,1,11.5,0.2463768115942029
10,20,14,1,15.0,0.023809523809523808
3,20,5,1,11.5,0.14782608695652175
4,20,6,1,12.0,0.1111111111111111
10,20,21,0,10.0,0.047619047619047616
9,20,14,1,14.5,0.027093596059113302
11,20,21,0,11.0,0.03896103896103896
8,20,14,1,14.0,0.030612244897959183
8,20,21,1,14.0,0.02040816326530612
9,20,21,1,14.5,0.0180623973727422
10,20,30,0,10.0,0.03333333333333333
7,20,21,1,13.5,0.02292768959435626
9,20,30,0,9.0,0.040740740740740744
10,20,14,1,15.0,0.023809523809523808
11,20,14,1,15.5,0.020737327188940093
12,20,14,1,16.0,0.017857142857142856
12,20,21,0,12.0,0.031746031746031744
10,20,21,0,10.0,0.047619047619047616
11,20,21,0,11.0,0.03896103896103896
6,20,30,0,6.0,0.07777777777777778
8,20,21,1,14.0,0.02040816326530612
9,20,21,0,9.0,0.0582010582010582
9,20,14,1,14.5,0.027093596059113302
7,20,21,1,13.5,0.02292768959435626
